id,key,value,type
13838066,ele,108.035895,regular
13838298,ele,87.373896,regular
13838411,ele,80.7897348715594,regular
13838461,exit_to,"E-15 A-7 Torremolinos, Algeciras, Cádiz",regular
13838461,highway,motorway_junction,regular
13838461,ref,142-A,regular
13838518,ele,90.77325,regular
13838580,highway,motorway_junction,regular
13838580,name,Torremolinos (aeropuerto),regular
13838580,ref,5A,regular
13838622,highway,motorway_junction,regular
13838746,ele,93.15899129136146,regular
13838833,created_by,JOSM,regular
13838847,highway,motorway_junction,regular
13838954,ele,93.95965916039822,regular
13839153,ele,100.364728,regular
13839172,ele,96.31738710275717,regular
13839361,ele,105.200397,regular
13839369,ele,97.69921579469477,regular
13839668,ele,77.44021732939642,regular
13839812,ele,108.035895,regular
21289711,converted_by,Track2osm,regular
21289714,converted_by,Track2osm,regular
21289715,converted_by,Track2osm,regular
21289718,converted_by,Track2osm,regular
21289719,converted_by,Track2osm,regular
21289721,converted_by,Track2osm,regular
21289727,converted_by,Track2osm,regular
21289731,converted_by,Track2osm,regular
21289732,converted_by,Track2osm,regular
21289738,converted_by,Track2osm,regular
21289739,converted_by,Track2osm,regular
21289743,converted_by,Track2osm,regular
21289748,converted_by,Track2osm,regular
21289750,converted_by,Track2osm,regular
21289751,converted_by,Track2osm,regular
21289753,converted_by,Track2osm,regular
21289755,converted_by,Track2osm,regular
21289758,converted_by,Track2osm,regular
21289761,converted_by,Track2osm,regular
21289764,converted_by,Track2osm,regular
21289767,converted_by,Track2osm,regular
21289768,converted_by,Track2osm,regular
21289769,converted_by,Track2osm,regular
21289771,converted_by,Track2osm,regular
21289779,converted_by,Track2osm,regular
21289785,converted_by,Track2osm,regular
21289785,created_by,JOSM,regular
21289787,converted_by,Track2osm,regular
21289790,converted_by,Track2osm,regular
21289792,converted_by,Track2osm,regular
21289794,converted_by,Track2osm,regular
21289794,created_by,JOSM,regular
21289795,converted_by,Track2osm,regular
21289799,converted_by,Track2osm,regular
21289800,converted_by,Track2osm,regular
21289805,converted_by,Track2osm,regular
21289806,converted_by,Track2osm,regular
21289811,converted_by,Track2osm,regular
21289816,converted_by,Track2osm,regular
21289818,converted_by,Track2osm,regular
21289822,converted_by,Track2osm,regular
21289823,converted_by,Track2osm,regular
21289825,converted_by,Track2osm,regular
21289825,created_by,JOSM,regular
21289826,converted_by,Track2osm,regular
21289830,converted_by,Track2osm,regular
21289830,created_by,JOSM,regular
21289831,converted_by,Track2osm,regular
21289834,converted_by,Track2osm,regular
21289837,converted_by,Track2osm,regular
21289840,converted_by,Track2osm,regular
21289842,converted_by,Track2osm,regular
21289845,converted_by,Track2osm,regular
21289846,converted_by,Track2osm,regular
21289855,converted_by,Track2osm,regular
21289861,converted_by,Track2osm,regular
21289862,converted_by,Track2osm,regular
21289862,exit_to,El Palo,regular
21289862,highway,motorway_junction,regular
21289862,ref,246-A,regular
21289865,converted_by,Track2osm,regular
21289867,converted_by,Track2osm,regular
21289867,highway,motorway_junction,regular
21289867,ref,254,regular
21289868,converted_by,Track2osm,regular
21289869,converted_by,Track2osm,regular
21289870,converted_by,Track2osm,regular
21289870,created_by,JOSM,regular
21289875,converted_by,Track2osm,regular
21289876,converted_by,Track2osm,regular
21289877,converted_by,Track2osm,regular
21289878,converted_by,Track2osm,regular
21289881,converted_by,Track2osm,regular
21289884,converted_by,Track2osm,regular
21289885,converted_by,Track2osm,regular
21289888,converted_by,Track2osm,regular
21289888,created_by,JOSM,regular
21289889,converted_by,Track2osm,regular
21289891,converted_by,Track2osm,regular
21289896,converted_by,Track2osm,regular
